Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","28 mils","SMT_TP_28_MILS",125.920000,-98.210000,180.000000,bottom
"TP2","28 mils","SMT_TP_28_MILS",133.520000,-80.560000,180.000000,bottom
"TP3","28 mils","SMT_TP_28_MILS",124.370000,-83.360000,180.000000,bottom
"TP4","28 mils","SMT_TP_28_MILS",108.320000,-80.610000,180.000000,bottom
"TP5","28 mils","SMT_TP_28_MILS",130.570000,-109.710000,180.000000,bottom
"TP6","28 mils","SMT_TP_28_MILS",133.320000,-121.060000,180.000000,bottom
"TP7","28 mils","SMT_TP_28_MILS",133.320000,-135.510000,180.000000,bottom
"TP8","28 mils","SMT_TP_28_MILS",101.770000,-125.810000,180.000000,bottom
"TP9","28 mils","SMT_TP_28_MILS",82.520000,-109.660000,180.000000,bottom
"TP10","28 mils","SMT_TP_28_MILS",82.520000,-111.910000,180.000000,bottom
"TP11","28 mils","SMT_TP_28_MILS",127.099808,-137.310000,180.000000,bottom
"TP12","28 mils","SMT_TP_28_MILS",125.501065,-124.260000,180.000000,bottom
"TP13","28 mils","SMT_TP_28_MILS",123.070000,-112.260000,180.000000,bottom
"TP14","28 mils","SMT_TP_28_MILS",87.720000,-122.560000,180.000000,bottom
"TP15","28 mils","SMT_TP_28_MILS",106.520000,-132.660000,180.000000,bottom
"TP16","28 mils","SMT_TP_28_MILS",101.920000,-128.660000,180.000000,bottom
"TP17","28 mils","SMT_TP_28_MILS",97.120000,-112.110000,180.000000,bottom
"TP18","28 mils","SMT_TP_28_MILS",94.420000,-124.460000,180.000000,bottom
"TP19","28 mils","SMT_TP_28_MILS",194.970000,-108.310000,180.000000,bottom
"TP20","28 mils","SMT_TP_28_MILS",219.620000,-104.610000,180.000000,bottom
"TP21","28 mils","SMT_TP_28_MILS",199.700530,-88.813999,180.000000,bottom
"TP22","28 mils","SMT_TP_28_MILS",215.270000,-69.910000,180.000000,bottom
"TP23","28 mils","SMT_TP_28_MILS",218.670000,-109.060000,180.000000,bottom
"TP24","28 mils","SMT_TP_28_MILS",230.370000,-102.910000,180.000000,bottom
"TP25","28 mils","SMT_TP_28_MILS",196.670000,-88.460000,180.000000,bottom
"TP26","28 mils","SMT_TP_28_MILS",218.220000,-111.625000,180.000000,bottom
"TP27","28 mils","SMT_TP_28_MILS",221.370000,-111.610000,180.000000,bottom
"TP28","28 mils","SMT_TP_28_MILS",154.370000,-95.560000,180.000000,bottom
"TP29","28 mils","SMT_TP_28_MILS",142.520000,-103.185000,180.000000,bottom
"TP30","28 mils","SMT_TP_28_MILS",145.977032,-97.974153,180.000000,bottom
"TP31","28 mils","SMT_TP_28_MILS",163.270000,-103.660000,180.000000,bottom
"TP32","28 mils","SMT_TP_28_MILS",161.270000,-100.010000,180.000000,bottom
"TP33","28 mils","SMT_TP_28_MILS",153.120000,-97.660000,180.000000,bottom
"TP34","28 mils","SMT_TP_28_MILS",149.070000,-97.610000,180.000000,bottom
"TP35","28 mils","SMT_TP_28_MILS",151.120000,-97.610000,180.000000,bottom
"TP36","28 mils","SMT_TP_28_MILS",170.920000,-100.110000,180.000000,bottom
"TP37","28 mils","SMT_TP_28_MILS",110.270000,-92.372500,180.000000,bottom
"TP38","28 mils","SMT_TP_28_MILS",112.020000,-92.510000,180.000000,bottom
"TP39","28 mils","SMT_TP_28_MILS",102.856917,-95.610000,180.000000,bottom
"TP40","28 mils","SMT_TP_28_MILS",105.820000,-95.460000,180.000000,bottom
"TP41","28 mils","SMT_TP_28_MILS",199.620000,-107.210000,180.000000,bottom
"TP42","28 mils","SMT_TP_28_MILS",202.320000,-107.260000,180.000000,bottom
"TP43","28 mils","SMT_TP_28_MILS",205.270000,-104.660000,180.000000,bottom
"TP44","28 mils","SMT_TP_28_MILS",203.628958,-102.310000,180.000000,bottom
"C1","0.1u","CAP_NONPOL_0402",184.870000,-93.810000,180.000000,top
"C3","1n","CAP_NONPOL_0402",183.170000,-92.010000,-90.000000,top
"C4","1n","CAP_NONPOL_0402",181.970000,-106.110000,90.000000,top
"C5","22u","CAP_NONPOL_0805",184.554817,-89.287746,-45.000000,top
"C6","1n","CAP_NONPOL_0402",181.970000,-103.910000,90.000000,top
"C7","0.1u","CAP_NONPOL_0402",160.170000,-62.410000,180.000000,top
"C8","0.1u","CAP_NONPOL_0402",157.070000,-58.310000,-90.000000,top
"C9","0.1u","CAP_NONPOL_0402",160.270000,-57.410000,0.000000,top
"C10","22u","CAP_NONPOL_0805",162.970000,-57.010000,180.000000,top
"C11","0.1u","CAP_NONPOL_0402",103.757742,-69.916371,90.000000,top
"C12","0.1u","CAP_NONPOL_0402",94.170000,-69.010000,135.000000,top
"C13","0.1u","CAP_NONPOL_0402",102.620000,-69.910000,90.000000,top
"C14","0.1u","CAP_NONPOL_0402",93.370000,-69.810000,135.000000,top
"C15","1u","CAP_NONPOL_0603",104.620000,-123.960000,0.000000,top
"C16","0.1u","CAP_NONPOL_0402",80.365000,-69.985000,180.000000,top
"C17","47u","CAP_NONPOL_1206",101.570000,-57.010000,180.000000,top
"C18","47u","CAP_NONPOL_1206",83.370000,-57.010000,180.000000,top
"C19","47u","CAP_NONPOL_1206",101.570000,-59.710000,180.000000,top
"C20","47u","CAP_NONPOL_1206",83.370000,-59.710000,180.000000,top
"C21","47u","CAP_NONPOL_1206",101.570000,-62.410000,180.000000,top
"C22","47u","CAP_NONPOL_1206",83.340000,-62.415000,180.000000,top
"C23","0.1u","CAP_NONPOL_0402",119.370000,-75.410000,180.000000,top
"C24","13p","CAP_NONPOL_0402",104.864999,-76.010000,0.000000,top
"C25","13p","CAP_NONPOL_0402",107.014999,-76.010000,180.000000,top
"C26","0.1u","CAP_NONPOL_0402",95.770000,-84.810000,90.000000,top
"C27","0.1u","CAP_NONPOL_0402",101.570000,-80.010000,135.000000,top
"C28","0.1u","CAP_NONPOL_0402",103.170000,-74.810000,-135.000000,top
"C29","0.1u","CAP_NONPOL_0402",98.570000,-70.210000,-135.000000,top
"C30","0.1u","CAP_NONPOL_0402",90.520000,-72.660000,-45.000000,top
"C31","22u","CAP_NONPOL_0805",97.770000,-68.810000,-135.000000,top
"C32","0.1u","CAP_NONPOL_0402",91.170000,-81.410000,45.000000,top
"C33","0.1u","CAP_NONPOL_0402",92.170000,-82.410000,45.000000,top
"C34","0.1u","CAP_NONPOL_0402",100.770000,-80.810000,135.000000,top
"C35","0.1u","CAP_NONPOL_0402",100.820000,-72.460000,-135.000000,top
"C36","0.1u","CAP_NONPOL_0402",99.370000,-71.010000,-135.000000,top
"C37","0.1u","CAP_NONPOL_0402",92.570000,-70.610000,-45.000000,top
"C38","22u","CAP_NONPOL_0805",99.970000,-82.210000,135.000000,top
"C39","0.1u","CAP_NONPOL_0402",91.320000,-71.860000,-45.000000,top
"C40","0.1u","CAP_NONPOL_0402",89.470000,-79.710000,45.000000,top
